token,count,prevalence
binary,6550,12.030217702860234
non-binary,2985,5.482473258479054
nonbinary,2003,3.678858940279244
non binary,410,0.7530365279652972
***NEXT 4 have a space at the front***,0,0.0
 binary,952,1.748514084446251
 nonbinary,1382,2.538284101580587
 non-binary,2160,3.9672168302561994
 non binary,265,0.48671873148976524
nb,56027,102.90335988368707
enby,1538,2.82480531709909
agender,714,1.3113855633346883
united,12556,23.06128450032261
united states,4500,8.26503506303375
estate,24773,45.49993635923001
real estate,21445,39.38748376150195
SOME NONBINARY,5393,9.905185354431335
BLANK BIO,715769,1314.6346404516896
